7/28/2015 4:02:59 PM,Rework Recipe ECR 2028703
Date,Process,Error
7/28/2015 4:47:02 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 5:12:13 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
