7/27/2015 1:18:09 PM,Functional Test ECR 2028703
Date,Process,Error
7/27/2015 1:31:06 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/27/2015 1:43:24 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/27/2015 2:17:55 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/27/2015 2:24:14 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/27/2015 2:54:24 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
