7/24/2015 11:52:21 AM,Functional Test ECR 2028703
Date,Process,Error
7/24/2015 12:29:30 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/24/2015 12:35:49 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/24/2015 1:06:05 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
