7/28/2015 12:50:44 PM,Functional Test ECR 2028703
Date,Process,Error
7/28/2015 1:09:24 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 1:17:03 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 1:45:17 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 1:54:44 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 1:57:55 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 2:04:08 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 2:18:19 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/28/2015 2:35:44 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
