Date/Time,Test Name,Test Type,User Data,Test Result,Exposure,Focal Spot,Ingrid Config,Exp Mode,Bias,Anode,Cathode,Anode/Cathode,kV Regul,Total Spits,Detailed Time,kV,Actual kV,mA,Actual mA,Generator Errors
7/27/2015 3:34:07 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,1,0,1, ,125, ,0, ,316:  Spit Max Error | 999:  Error in Idle mode - See VT220 for description | 
7/27/2015 3:34:15 PM,Dark Current,6,0,Resulted in Error:  
7/27/2015 3:36:07 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,0,0,0, ,125, ,0, ,
7/27/2015 3:37:00 PM,Dark Current,6,17.56,Passed
7/27/2015 3:38:57 PM,Grid Cutoff Current,Grid Cutoff,,,1,Small,Grid ON,Diagnostic Mode,2200,0,0,0,0,0, ,125, ,0, ,
7/27/2015 3:39:41 PM,Grid Cutoff Current,7,48.14,Passed
