12/22/2017 12:01:46 AM,Functional Test ECR 2028703
Date,Process,Error
12/22/2017 12:42:05 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
12/22/2017 12:51:28 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
12/22/2017 12:54:07 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
12/22/2017 1:00:24 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
12/22/2017 1:16:50 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
12/22/2017 1:29:28 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
