7/2/2014 8:23:34 PM,Functional Test ECR 2028703
Date,Process,Error
7/2/2014 9:17:06 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:26:33 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:29:43 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:35:57 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:42:11 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:48:25 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:54:38 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
