7/2/2014 7:35:24 AM,Functional Test ECR 2028703
Date,Process,Error
7/2/2014 7:36:36 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 7:47:10 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 7:48:26 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 7:53:00 AM,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
7/2/2014 7:53:00 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/2/2014 7:54:11 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 7:58:42 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 8:00:56 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 8:21:09 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 8:48:22 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/2/2014 8:49:05 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/2/2014 8:52:19 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 8:55:24 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:18:05 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:20:30 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:21:56 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:25:13 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/2/2014 9:26:27 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:32:35 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 9:32:57 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
