7/3/2014 12:43:04 PM,Functional Test ECR 2028703
Date,Process,Error
7/3/2014 1:13:57 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 1:20:16 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 1:26:35 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 1:32:53 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 1:35:59 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 1:39:04 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 2:09:09 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
