7/2/2014 9:51:13 AM,Functional Test ECR 2028703
Date,Process,Error
7/2/2014 10:12:41 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 10:34:42 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 11:02:36 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
