7/2/2014 12:56:11 PM,Rework Recipe ECR 2028703
Date,Process,Error
7/2/2014 1:11:25 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 1:12:36 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/2/2014 1:17:11 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
