7/10/2013 6:40:25 AM,Rework Recipe ECR 2028703
Date,Process,Error
7/10/2013 6:52:10 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 6:53:25 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 7:25:38 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 7:35:05 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
