7/10/2013 6:34:51 AM,Rework Recipe ECR 2028703
Recipe:  Rework Recipe ECR 2028703
Serial Number:  172949GI0
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/10/2013 6:35:11 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,14.98438,80,120,35,76.8,310:  kV max detected | 
7/10/2013 6:35:14 AM,Next Log Entry Due to Resume.
7/10/2013 6:35:15 AM,Next entry is due to a resume on exposure.
7/10/2013 6:35:24 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,14.98438,80,120,35,76.8,310:  kV max detected | 
7/10/2013 6:35:28 AM,Next Log Entry Due to Resume.
7/10/2013 6:35:29 AM,Next entry is due to a resume on exposure.
7/10/2013 6:35:38 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,14.98438,80,120,35,76.8,310:  kV max detected | 
7/10/2013 6:35:42 AM,Next Log Entry Due to Resume.
7/10/2013 6:35:43 AM,Next entry is due to a resume on exposure.
7/10/2013 6:35:52 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,14.98438,80,120,35,76.8,310:  kV max detected | 
7/10/2013 6:36:24 AM,Test Stopped!  Generator Error!  No more resumes allowed.
