8/20/2018 1:48:10 PM,Functional Test ECR 2028703
Date,Process,Error
8/20/2018 2:22:10 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
8/20/2018 2:43:04 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
8/20/2018 2:50:35 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
