7/10/2013 6:34:51 AM,Rework Recipe ECR 2028703
Date,Process,Error
7/10/2013 6:35:09 AM,Jedi Status,Error Status: 60- Error Data: 310 Error Phase: 4 Error Class: 3
7/10/2013 6:35:22 AM,Jedi Status,Error Status: 60- Error Data: 310 Error Phase: 4 Error Class: 3
7/10/2013 6:35:36 AM,Jedi Status,Error Status: 60- Error Data: 310 Error Phase: 4 Error Class: 3
7/10/2013 6:35:50 AM,Jedi Status,Error Status: 60- Error Data: 310 Error Phase: 4 Error Class: 3
