Date/Time,Test Name,Test Type,User Data,Test Result,Exposure,Focal Spot,Ingrid Config,Exp Mode,Bias,Anode,Cathode,Anode/Cathode,kV Regul,Total Spits,Detailed Time,kV,Actual kV,mA,Actual mA,Generator Errors
7/9/2013 3:16:19 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,1,0,1, ,125, ,0, ,316:  Spit Max Error | 999:  Error in Idle mode - See VT220 for description | 
7/9/2013 3:39:28 PM,Dark Current,6,0,Resulted in Error:  
7/9/2013 3:40:18 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,1,0,1, ,125, ,0, ,316:  Spit Max Error | 999:  Error in Idle mode - See VT220 for description | 
7/9/2013 3:40:59 PM,Dark Current,6,0,Resulted in Error:  
7/9/2013 3:42:44 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,0,0,0, ,125, ,0, ,
7/9/2013 3:43:35 PM,Dark Current,6,25.9,Passed
7/9/2013 3:45:21 PM,Grid Cutoff Current,Grid Cutoff,,,1,Small,Grid ON,Diagnostic Mode,2200,0,0,0,0,0, ,125, ,0, ,
7/9/2013 3:45:56 PM,Grid Cutoff Current,7,33.95,Passed
