7/9/2013 10:05:50 PM,Functional Test ECR 2028703
Date,Process,Error
7/9/2013 10:11:34 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 10:42:56 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 10:46:01 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 10:55:23 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 10:58:33 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 11:07:56 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 11:11:28 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 11:31:06 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 11:34:55 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 11:43:25 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 11:44:51 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
