8/20/2018 12:28:43 PM,Functional Test ECR 2028703
Date,Process,Error
8/20/2018 12:43:52 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
8/20/2018 1:02:45 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
8/20/2018 1:19:52 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
