Date/Time,Test Name,Test Type,User Data,Test Result,Exposure,Focal Spot,Ingrid Config,Exp Mode,Bias,Anode,Cathode,Anode/Cathode,kV Regul,Total Spits,Detailed Time,kV,Actual kV,mA,Actual mA,Generator Errors
7/10/2013 1:03:23 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,1,0,1, ,125, ,0, ,316:  Spit Max Error | 999:  Error in Idle mode - See VT220 for description | 
7/10/2013 1:04:03 PM,Dark Current,6,0,Resulted in Error:  
7/10/2013 1:04:57 PM,Dark Current,Dark Current,,,1,Small,Grid OFF,Diagnostic Mode,2200,0,0,1,0,1, ,125, ,0, ,316:  Spit Max Error | 999:  Error in Idle mode - See VT220 for description | 
7/10/2013 1:05:03 PM,Dark Current,6,0,Resulted in Error:  
