7/9/2013 5:34:48 PM,Functional Test ECR 2028703
Date,Process,Error
7/9/2013 5:36:58 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 5:47:47 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 5:48:52 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 5:54:32 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 5:56:51 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 5:58:01 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:09:40 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:34:45 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:38:57 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 6:42:11 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:45:17 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:48:27 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 6:50:21 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 6:51:03 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 6:51:41 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
