30/06/2018 12:48:34,Functional Test ECR 2028703
Date,Process,Error
30/06/2018 13:08:21,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
30/06/2018 13:47:26,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
