29/06/2018 12:07:54,Functional Test ECR 2028703
Date,Process,Error
29/06/2018 12:48:13,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 12:51:55,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
29/06/2018 12:55:04,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
29/06/2018 13:04:26,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
